Pontos,FGM,FGA,Aproveitamento_Campo,Aproveitamento_3P,Aproveitamento_LT,Reb_Ofensivo,Reb_Defensivo,Assistências,Turnovers,Roubos,Bloqueios,Altura,Peso,Posicao,prediction_label,prediction_score,Acertou,Acertou_Texto
10.8,3.8,8.4,45.3,39.9,90.3,1.4,5.3,2.9,1.2,1.1,0.2,1.9812,92.98636,SG,SG,0.5612,True,Sim
14.2,4.6,10.3,44.7,38.1,84.0,1.5,4.2,1.4,1.1,2.5,0.6,1.9558,92.98636,SF,SG,0.6102,False,Não
17.1,8.5,12.8,66.7,0.0,0.0,0.0,2.1,2.1,0.0,0.0,2.1,2.0574,90.7184,SF,PF,0.7852,False,Não
12.3,4.5,10.6,42.3,29.3,80.4,1.0,4.5,3.9,1.7,2.5,0.6,1.9558,84.36811,SG,SG,0.7899,True,Sim
26.8,9.4,20.3,46.2,36.7,89.2,0.3,3.6,6.2,2.3,1.8,0.7,1.8796,90.7184,PG,PG,0.6471,True,Sim
9.9,3.3,7.2,45.9,42.0,89.3,1.8,2.3,1.9,1.4,1.4,0.2,1.9812,90.7184,SG,SG,0.7625,True,Sim
8.8,3.5,15.8,22.0,13.0,100.0,1.5,5.8,2.7,3.5,2.3,0.0,1.9812,83.91452,SG,SG,0.6491,True,Sim
12.3,4.8,11.4,41.8,33.3,72.2,1.2,4.2,3.4,2.2,1.3,0.5,1.9558,79.3786,SG,SG,0.771,True,Sim
17.1,6.3,14.4,43.7,34.9,81.1,1.2,3.9,3.1,2.1,1.7,0.4,1.9304,99.79024,SG,SG,0.5932,True,Sim
15.3,5.9,12.5,47.3,38.8,63.5,2.5,5.4,3.3,1.8,1.3,0.2,2.0066,95.25432,SF,SF,0.5646,True,Sim
21.5,7.6,15.7,48.4,39.1,90.8,1.3,3.1,4.4,2.1,1.1,0.5,1.9812,97.52228,SG,SG,0.5244,True,Sim
17.9,6.6,11.5,57.7,43.3,76.9,5.0,4.0,2.1,1.5,0.9,0.9,2.0828,110.222855,C,C,0.7497,True,Sim
18.9,7.1,15.4,46.4,37.7,89.0,1.0,3.4,5.7,1.5,0.8,0.1,1.8542,88.45044,PG,PG,0.5719,True,Sim
13.9,5.6,9.3,60.4,42.2,73.2,2.8,6.2,2.0,1.3,1.0,2.1,2.0828,104.779755,PF,C,0.7515,False,Não
21.1,7.2,15.2,47.2,23.2,79.3,0.7,4.0,6.3,3.1,1.5,0.5,1.8542,86.18248,PG,PG,0.859,True,Sim
14.1,5.2,11.4,45.9,34.2,68.1,2.1,5.0,1.8,1.6,1.6,1.0,2.0574,97.52228,PF,PF,0.5402,True,Sim
12.9,3.4,12.0,28.6,30.0,100.0,0.0,5.2,1.7,0.0,1.7,0.0,1.9304,98.88306,SG,SG,0.735,True,Sim
30.6,10.2,20.9,48.9,33.3,85.4,2.2,6.5,4.5,3.3,0.6,1.4,2.1336,122.46984,C,C,0.7326,True,Sim
12.1,4.9,9.9,49.6,24.4,73.1,2.8,5.4,3.1,1.6,1.3,0.5,2.032,104.32616,PF,PF,0.6312,True,Sim
10.5,4.5,6.0,75.0,0.0,100.0,4.5,9.0,4.5,4.5,0.0,4.5,2.1336,113.398,C,C,1.0,True,Sim
20.6,7.5,17.0,44.0,38.5,89.6,0.8,2.7,3.5,1.8,0.7,0.2,1.905,90.7184,SG,SG,0.7791,True,Sim
21.1,6.5,15.0,43.0,31.5,86.9,1.2,5.3,2.9,2.6,1.0,0.3,1.9558,95.25432,SG,SG,0.4847,True,Sim
13.7,5.8,9.4,62.2,0.0,61.0,4.7,9.3,5.3,2.6,1.5,1.1,2.1336,113.398,C,C,0.9928,True,Sim
20.0,6.8,14.4,47.1,33.2,73.4,1.7,4.7,8.9,3.8,1.4,0.3,1.9812,97.52228,PG,PG,0.8028,True,Sim
19.2,6.8,16.9,40.5,29.5,71.7,0.6,3.9,7.6,3.6,0.9,0.1,1.905,87.54326,PG,PG,0.943,True,Sim
13.9,5.6,8.3,67.6,18.2,71.1,5.1,6.8,3.1,1.6,1.4,2.3,2.1082,113.398,C,C,0.9953,True,Sim
8.0,3.1,9.6,32.0,13.3,75.0,0.8,6.1,1.1,0.4,1.9,2.7,2.032,90.7184,SF,PF,0.5657,False,Não
10.1,3.9,8.3,47.0,32.4,48.6,1.8,6.8,2.3,1.6,1.1,0.4,2.032,90.7184,SG,PF,0.5006,False,Não
8.6,3.7,7.8,47.4,37.5,0.0,0.4,2.0,6.9,1.2,2.5,1.2,1.905,88.45044,PG,PG,0.5147,True,Sim
12.3,4.3,11.7,37.2,34.7,72.0,1.2,4.1,2.6,1.8,1.2,0.6,1.9812,106.59412,PF,SF,0.4393,False,Não
19.0,7.2,12.5,57.8,42.9,70.0,3.1,7.8,2.9,2.0,0.4,0.8,2.0574,108.86208,C,C,0.6844,True,Sim
12.8,4.2,9.8,42.4,41.9,85.5,0.5,2.9,2.4,1.2,0.6,0.1,1.9304,86.18248,SG,SG,0.8848,True,Sim
16.0,5.4,11.9,45.6,41.0,75.5,0.5,3.0,2.7,0.9,0.7,0.4,2.0066,97.52228,SG,SF,0.4461,False,Não
15.6,6.1,12.1,50.2,31.9,78.4,3.8,6.2,2.2,1.2,1.5,1.1,1.9812,93.43995,SF,SF,0.4564,True,Sim
7.0,2.3,7.0,33.3,0.0,100.0,1.2,1.8,6.4,4.7,1.2,2.9,2.032,92.07918,PG,PG,0.4849,True,Sim
9.5,3.8,9.9,38.0,31.6,66.7,2.0,4.1,2.0,0.8,1.6,1.0,2.032,102.0582,SF,PF,0.5736,False,Não
25.0,8.0,17.9,44.6,36.2,81.7,0.5,4.4,5.8,3.7,0.7,0.1,1.9304,95.25432,PG,PG,0.5256,True,Sim
25.2,7.6,16.6,45.8,33.8,82.5,0.4,2.4,11.3,3.7,1.2,0.2,1.8796,74.38909,PG,PG,0.9988,True,Sim
10.2,4.4,7.3,60.0,0.0,40.0,4.4,6.6,2.2,1.5,2.2,0.7,2.1336,106.59,C,C,0.8777,True,Sim
18.8,7.1,15.6,45.6,36.2,73.2,1.6,6.9,3.0,2.3,1.4,1.4,2.0574,119.74829,C,PF,0.5056,False,Não
14.7,6.0,13.2,45.8,29.5,68.6,1.0,3.6,4.6,1.7,1.6,0.9,1.8796,81.64656,PG,SG,0.596,False,Não
17.4,6.0,15.2,39.4,32.7,90.2,1.2,3.5,5.7,1.8,1.2,1.3,1.9304,86.18248,SG,SG,0.5516,True,Sim
19.8,7.2,15.7,46.0,33.3,82.2,1.1,5.7,3.7,1.6,0.7,0.5,2.0066,102.0582,PF,SF,0.5729,False,Não
14.6,5.4,11.3,47.8,40.8,89.3,1.1,2.7,2.9,1.3,0.8,0.1,2.0066,92.98636,SF,SG,0.6091,False,Não
15.6,5.4,13.0,41.8,37.2,94.9,1.2,3.3,2.3,0.8,0.5,0.6,2.032,97.52228,SF,SF,0.4859,True,Sim
12.7,4.5,14.0,32.4,21.1,85.0,1.1,3.3,3.7,2.4,0.9,0.2,1.9558,72.57472,SG,SG,0.5839,True,Sim
17.8,7.2,11.1,64.4,100.0,77.1,4.7,7.4,1.5,1.7,1.4,1.4,2.159,108.86208,C,C,0.9731,True,Sim
17.7,6.7,13.6,49.3,44.6,73.8,2.4,4.5,3.0,2.0,1.1,0.6,1.9812,97.52228,SG,SF,0.5549,False,Não
15.7,5.4,14.3,37.6,33.0,86.4,0.3,3.9,5.6,1.1,2.3,0.7,1.8796,83.00734,PG,PG,0.5615,True,Sim
19.4,7.0,12.8,54.9,40.5,75.4,2.2,4.7,1.9,1.7,1.5,0.5,2.0066,104.32616,PF,SF,0.5045,False,Não
17.4,6.2,15.0,41.4,26.3,71.3,1.9,4.6,5.2,2.8,1.7,0.5,1.8796,88.45044,PG,PG,0.6098,True,Sim
14.4,5.3,10.6,50.0,53.8,0.0,1.1,3.2,1.6,0.5,0.5,0.0,1.9558,92.98636,SG,SF,0.5548,False,Não
15.9,6.0,11.0,55.0,33.3,75.6,2.6,5.3,1.8,1.8,0.4,2.5,2.032,113.398,C,C,0.79,True,Sim
19.9,7.4,14.8,50.0,41.2,50.0,0.6,5.1,0.0,0.6,0.6,0.0,2.0066,97.52228,SF,SF,0.663,True,Sim
25.7,9.1,17.4,52.0,41.3,87.4,0.5,4.9,4.7,3.1,0.8,0.9,2.1082,108.86208,PF,PF,0.5249,True,Sim
12.2,4.6,10.7,42.9,0.0,100.0,1.5,3.1,6.1,6.1,0.0,0.0,1.9812,95.25432,PG,PG,0.8015,True,Sim
13.8,5.1,12.0,42.6,36.1,84.6,1.6,6.5,4.3,1.6,1.1,1.9,2.032,108.86208,C,PF,0.6378,False,Não
8.6,2.7,7.3,37.1,35.2,83.7,1.0,4.6,3.2,1.3,1.0,0.4,1.9558,99.79024,SG,SG,0.6006,True,Sim
28.0,9.2,20.1,45.6,33.0,87.3,0.8,3.4,6.5,3.4,0.9,0.3,1.9558,93.43995,SG,PG,0.5535,False,Não
16.1,5.6,13.3,42.5,31.9,74.6,1.2,4.8,3.6,2.0,1.8,1.3,2.0066,88.45044,SG,SG,0.5038,True,Sim
16.0,5.3,10.5,50.8,44.4,78.6,1.4,4.6,2.7,2.1,0.2,1.0,2.0574,102.0582,PF,PF,0.6296,True,Sim
14.9,6.0,11.9,50.3,35.2,54.9,3.5,10.6,6.5,3.4,1.7,0.7,2.1082,131.54169,C,C,0.992,True,Sim
14.4,4.6,11.6,39.6,35.5,71.9,0.7,4.1,2.1,1.6,0.9,0.1,1.9812,99.79024,PF,SF,0.4699,False,Não
11.4,3.9,7.5,51.6,33.3,63.6,2.2,4.6,2.4,2.2,1.7,0.5,2.0066,99.79024,SF,PF,0.4797,False,Não
14.6,5.4,14.3,37.5,36.8,75.0,0.6,0.9,3.0,2.7,0.9,0.0,1.9304,93.89355,SG,SG,0.791,True,Sim
11.7,4.5,9.4,47.5,38.5,76.2,1.5,4.2,3.1,1.6,1.5,0.4,1.9304,91.62559,SF,SG,0.746,False,Não
18.0,6.2,13.2,47.0,35.6,82.4,1.1,3.4,5.6,2.5,1.2,0.2,1.9304,78.47141,PG,PG,0.5865,True,Sim
11.9,4.3,10.0,43.4,36.2,76.5,1.1,3.9,3.0,1.1,1.0,0.2,1.9812,86.18248,SG,SG,0.7418,True,Sim
18.7,5.9,13.0,45.5,42.3,89.4,0.8,3.5,2.2,1.1,1.2,0.3,1.9304,74.84268,SG,SG,0.8929,True,Sim
13.9,4.7,9.7,48.1,40.9,77.9,0.5,3.1,2.5,0.7,1.1,0.3,1.9812,86.18248,SG,SG,0.7796,True,Sim
19.6,7.8,17.2,45.6,28.6,74.2,1.9,4.0,1.5,1.8,1.5,0.8,1.9812,104.32616,SF,SF,0.6114,True,Sim
10.7,5.3,9.8,54.5,0.0,0.0,1.8,2.7,1.8,0.0,0.9,0.0,2.1082,104.32616,SF,PF,0.8808,False,Não
13.0,4.6,10.1,45.5,33.7,73.5,3.4,5.7,1.6,1.3,1.1,0.6,2.0066,107.501305,PF,PF,0.6014,True,Sim
22.0,7.7,16.1,47.9,39.0,88.0,0.2,2.9,2.6,2.2,0.8,0.3,1.9558,90.7184,SG,SG,0.7296,True,Sim
14.5,6.1,9.3,65.3,12.5,70.3,4.3,7.6,2.4,1.4,1.1,1.9,2.1336,112.490814,C,C,0.9913,True,Sim
21.1,7.4,14.5,51.3,46.8,75.0,1.4,2.8,2.0,0.6,0.6,0.3,2.032,104.32616,SF,SF,0.5859,True,Sim
23.3,8.0,16.0,50.1,36.8,85.8,3.6,10.2,3.5,2.9,1.0,0.6,2.1336,112.490814,C,C,0.9329,True,Sim
11.6,4.6,10.9,42.6,33.3,40.0,2.6,3.9,4.6,2.8,2.1,0.0,1.9812,95.25432,SF,SF,0.4299,True,Sim
17.0,5.7,13.0,44.0,40.1,77.0,1.2,3.5,2.3,1.3,1.4,0.8,1.9558,95.70791,SG,SG,0.5488,True,Sim
19.3,7.2,28.9,25.0,22.2,0.0,0.0,4.8,0.0,0.0,2.4,0.0,1.905,97.52228,SG,SF,0.7649,False,Não
14.6,5.7,11.2,51.4,44.3,69.4,0.8,3.5,1.1,0.8,0.7,0.4,2.032,104.32616,PF,PF,0.4967,True,Sim
11.6,4.5,7.8,57.4,0.0,46.9,6.1,8.6,0.6,2.0,1.3,3.1,2.1082,99.79024,C,C,0.9985,True,Sim
14.7,6.0,9.4,63.7,0.0,64.8,4.5,7.0,2.1,2.3,1.4,1.9,2.032,92.98636,C,C,0.7777,True,Sim
19.0,7.9,12.4,63.3,20.0,78.1,5.5,10.0,1.5,3.3,0.9,2.7,2.2098,138.34557,C,C,1.0,True,Sim
13.1,4.8,11.7,40.8,33.5,71.4,1.7,6.2,2.1,1.5,0.7,1.0,1.9812,99.79024,PF,PF,0.4482,True,Sim
17.9,6.8,13.7,49.2,34.7,72.6,1.1,5.1,3.7,2.4,0.9,0.6,2.032,100.243835,PF,SF,0.5132,False,Não
17.1,6.0,13.8,43.1,35.3,78.4,1.2,3.1,2.2,1.5,1.2,0.2,2.0066,92.99,SG,SG,0.4691,True,Sim
14.2,5.3,10.3,51.2,27.8,64.4,4.0,8.5,0.8,3.0,0.5,1.6,2.1082,111.13004,C,C,0.9808,True,Sim
11.0,4.8,7.5,64.7,0.0,50.0,4.8,5.3,1.8,0.9,0.0,0.0,2.0574,108.86208,PF,C,0.8286,False,Não
12.5,3.9,9.1,42.9,42.3,87.9,1.6,3.6,5.2,1.9,1.3,0.3,1.9558,90.7184,PG,SG,0.7065,False,Não
16.7,6.2,13.9,44.5,39.5,65.1,0.6,3.1,7.5,2.3,1.1,0.2,1.8288,77.11064,PG,PG,0.9678,True,Sim
14.5,4.8,10.9,43.7,38.1,84.4,1.2,6.3,2.0,1.1,1.0,0.6,2.0066,98.42947,SF,SF,0.4801,True,Sim
25.4,9.1,19.7,46.1,34.2,81.2,0.9,5.0,10.5,3.9,1.5,0.9,1.9812,99.79024,SG,PG,0.9292,False,Não
20.8,7.0,16.5,42.6,31.4,81.9,2.3,7.4,2.3,1.6,1.3,0.2,2.1082,111.13004,C,PF,0.5929,False,Não
30.9,10.1,21.6,46.8,39.3,92.3,0.5,3.7,5.5,3.3,1.3,0.5,1.8796,83.91452,PG,PG,0.7558,True,Sim
5.5,1.9,6.2,31.0,7.7,77.8,3.6,5.3,3.0,1.5,1.7,0.9,2.0066,99.79024,SF,PF,0.559,False,Não
11.6,4.6,8.5,53.9,25.6,71.8,2.8,4.4,1.9,1.2,1.3,1.1,2.0574,101.60461,PF,PF,0.6883,True,Sim
16.0,5.4,13.3,40.5,32.9,83.4,0.7,3.3,7.2,2.6,1.2,0.2,1.8542,79.3786,PG,PG,0.9528,True,Sim
20.4,7.8,15.0,51.9,36.3,79.4,2.6,5.7,2.1,1.3,0.9,0.2,1.9812,99.79024,SF,SF,0.627,True,Sim
14.4,5.3,9.7,54.3,30.0,80.0,3.4,4.8,3.7,2.1,1.6,0.9,2.0066,99.79024,SF,PF,0.4782,False,Não
25.9,10.6,15.2,70.0,0.0,100.0,6.1,4.6,3.0,0.0,1.5,0.0,2.0066,112.490814,PF,C,0.6425,False,Não
19.1,7.8,15.8,49.3,36.9,82.8,2.5,8.2,4.2,1.7,0.8,0.8,2.0574,120.20188,C,C,0.7201,True,Sim
13.2,4.4,9.9,44.6,40.9,78.9,1.4,3.2,2.1,0.9,1.8,0.3,1.9304,81.64656,SG,SG,0.8806,True,Sim
15.2,6.5,12.3,52.8,27.8,55.4,3.7,6.5,2.1,1.3,1.3,1.0,2.032,110.222855,C,C,0.5984,True,Sim
16.3,6.5,14.2,46.2,33.3,50.0,1.1,2.2,4.4,0.0,2.2,0.0,1.9558,97.52228,PF,SG,0.5855,False,Não
11.4,4.2,10.1,41.8,42.5,85.7,0.9,3.2,4.9,1.9,2.6,0.3,1.8034,83.91452,PG,PG,0.728,True,Sim
12.0,4.2,11.1,37.5,34.2,66.7,0.4,3.3,2.4,0.9,0.8,0.1,1.9558,95.25432,SG,SG,0.675,True,Sim
18.4,6.5,14.9,43.8,38.1,80.2,1.1,5.2,5.5,3.2,1.2,1.1,2.032,90.7184,SF,SF,0.4202,True,Sim
20.5,8.1,14.9,54.6,29.7,60.6,2.7,7.5,4.1,2.1,0.8,2.0,2.1082,97.52228,PF,C,0.5592,False,Não
16.6,5.7,14.1,40.8,37.4,83.2,1.3,2.8,6.9,2.8,1.6,0.4,1.9304,74.84268,PG,PG,0.8917,True,Sim
36.0,12.0,27.0,44.4,40.0,66.7,6.0,3.0,0.0,0.0,3.0,0.0,1.9558,86.18248,SG,SF,0.9,False,Não
9.4,3.3,7.8,42.5,38.5,59.4,2.2,3.2,1.8,1.1,1.7,0.4,1.9304,96.6151,SG,SG,0.5858,True,Sim
15.1,4.9,13.1,37.5,33.3,85.2,0.9,4.9,1.4,1.3,1.3,0.5,2.0066,97.52228,SF,SF,0.5375,True,Sim
9.6,3.3,8.4,39.8,29.8,65.9,1.6,2.6,2.8,1.8,1.3,0.6,1.9812,99.79024,SF,SG,0.4804,False,Não
14.0,5.7,9.9,57.9,34.0,65.7,3.8,4.4,3.1,1.7,1.5,1.5,2.0066,111.13004,PF,C,0.5131,False,Não
4.4,0.9,5.2,16.7,33.3,100.0,0.9,4.4,1.7,1.7,0.0,0.0,2.0828,102.0582,C,PF,0.4713,False,Não
11.2,4.1,10.8,38.3,30.9,80.6,1.1,3.2,3.5,1.7,2.0,0.6,2.0066,93.43995,PF,SG,0.6424,False,Não
18.1,6.5,14.6,44.7,33.3,73.2,0.9,3.7,4.4,2.5,1.7,0.8,2.0066,90.7184,PG,SG,0.5519,False,Não
23.1,8.5,17.5,48.9,35.2,78.8,1.4,9.1,8.0,3.5,1.3,0.4,2.032,99.33665,PF,SF,0.5707,False,Não
10.8,4.4,9.6,45.3,33.1,48.9,2.6,5.3,2.7,1.5,1.6,0.8,2.0066,97.97587,SF,PF,0.5427,False,Não
15.4,5.8,12.8,45.5,36.8,64.4,1.7,4.5,1.8,1.4,1.4,0.9,2.032,90.7184,SF,SF,0.548,True,Sim
13.4,4.7,11.2,41.9,39.3,85.0,1.0,4.5,2.1,0.7,0.7,0.4,2.0066,98.42947,SF,SF,0.473,True,Sim
19.0,6.9,14.6,47.1,33.8,84.3,1.9,6.3,3.9,2.4,0.9,0.6,1.9558,93.43995,SG,SF,0.4589,False,Não
18.3,6.8,16.1,41.9,35.8,87.4,0.7,3.5,3.0,2.3,0.8,0.4,1.9558,86.18248,SG,SG,0.7606,True,Sim
13.8,5.1,14.0,36.8,27.3,100.0,1.4,3.7,1.6,0.8,0.4,0.4,2.032,106.59412,PF,SF,0.4672,False,Não
15.4,5.4,13.3,40.5,32.2,77.1,1.7,6.8,3.9,2.2,0.9,1.0,2.1082,113.398,PF,PF,0.5878,True,Sim
11.0,5.5,11.0,50.0,0.0,0.0,0.0,0.0,5.5,0.0,5.5,0.0,1.9812,95.25432,SG,SG,0.7369,True,Sim
21.3,7.8,14.0,55.7,36.2,79.2,2.3,8.7,2.1,1.9,0.8,2.4,2.159,94.34714,PF,C,0.7726,False,Não
11.8,4.7,9.6,49.0,39.5,64.6,0.6,2.8,8.2,1.9,1.2,0.2,1.8288,91.62559,PG,PG,0.9235,True,Sim
21.7,8.7,14.3,60.9,33.3,100.0,1.2,2.5,3.1,1.9,1.2,0.6,2.0066,104.32616,SF,SF,0.5286,True,Sim
14.5,5.1,10.0,51.2,31.9,79.2,2.5,6.5,2.4,1.6,0.9,0.8,2.0828,122.46984,PF,C,0.7749,False,Não
14.7,4.9,12.4,39.9,38.5,83.1,0.6,4.0,4.8,2.4,1.2,0.5,2.032,90.7184,PG,SG,0.5806,False,Não
19.6,7.4,14.3,51.7,43.9,87.6,0.9,3.6,4.8,1.8,1.1,0.3,1.9304,91.17199,SG,SG,0.7195,True,Sim
16.1,5.4,12.4,43.6,42.2,77.8,1.4,5.4,1.1,1.0,1.9,0.6,1.9812,81.19297,SG,SG,0.5971,True,Sim
10.8,3.9,9.7,40.4,32.3,68.8,3.2,5.7,3.3,2.0,1.4,0.9,2.0066,97.52228,SF,PF,0.4801,False,Não
15.1,5.8,17.4,33.3,30.0,0.0,0.0,3.5,5.8,1.2,0.0,0.0,1.8542,88.45044,PG,PG,0.7216,True,Sim
30.0,10.4,21.6,48.3,36.4,86.5,0.8,4.1,6.1,3.0,1.6,0.3,1.8796,97.52228,SG,PG,0.5882,False,Não
8.6,3.9,9.0,43.5,16.7,25.0,3.7,4.7,2.5,1.6,1.8,1.0,2.032,111.13004,PF,PF,0.5938,True,Sim
8.9,3.4,6.7,50.4,39.6,60.8,1.9,3.4,1.3,0.8,1.3,0.7,2.0066,102.0582,SF,PF,0.5936,False,Não
7.1,2.6,7.7,33.3,27.0,88.9,2.0,3.4,2.1,1.3,0.9,0.3,2.0066,99.79024,PF,SG,0.4048,False,Não
13.8,5.1,12.2,41.7,33.3,67.9,0.7,2.9,5.0,2.6,1.6,1.3,2.0066,92.98636,SG,SG,0.6028,True,Sim
11.0,3.8,12.2,31.5,28.4,83.3,1.1,2.1,2.3,0.4,1.0,0.0,1.905,93.43995,SG,SG,0.8795,True,Sim
19.3,6.4,15.5,41.7,43.3,100.0,0.4,3.0,4.3,1.7,0.4,0.0,1.9558,97.52228,SG,SG,0.7146,True,Sim
14.7,5.5,11.5,47.3,35.4,71.7,1.3,2.6,3.6,1.5,1.2,0.1,1.8542,81.64656,SG,SG,0.7103,True,Sim
15.2,6.9,8.3,83.3,100.0,0.0,4.1,0.0,1.4,1.4,0.0,0.0,1.9558,104.32616,SF,PF,0.6395,False,Não
10.4,4.6,6.3,72.3,0.0,40.8,7.7,8.4,1.6,1.3,1.7,2.1,2.1336,108.86208,C,C,0.9998,True,Sim
19.3,6.9,16.9,40.7,29.4,82.6,1.2,3.8,4.0,2.9,2.5,0.6,1.8796,90.7184,SG,SG,0.5664,True,Sim
20.3,7.1,16.3,43.9,39.2,82.0,0.6,5.6,4.2,2.0,2.0,0.5,2.032,104.32616,PF,SF,0.6376,False,Não
24.6,8.4,20.4,41.0,23.5,89.7,0.5,3.6,10.2,4.5,1.3,0.4,1.8796,78.92501,PG,PG,0.9983,True,Sim
14.4,5.3,13.9,38.0,31.8,78.7,0.4,2.5,6.2,3.7,1.3,0.7,1.905,83.91452,PG,PG,0.8767,True,Sim
10.0,3.8,6.4,59.5,33.3,70.8,3.7,5.2,0.9,1.6,0.9,2.4,2.0828,106.59412,C,C,0.9198,True,Sim
22.5,7.0,15.5,45.3,38.9,81.4,1.2,3.0,2.6,2.5,0.9,0.8,2.0066,96.6151,PF,SF,0.5471,False,Não
16.7,5.9,13.2,44.3,40.2,77.8,1.1,7.0,3.0,1.1,0.4,0.0,1.9558,97.52228,SF,SF,0.547,True,Sim
17.0,6.1,13.7,44.5,37.3,80.9,1.3,3.6,3.7,2.2,1.2,0.8,1.905,88.45044,SG,SG,0.7479,True,Sim
28.0,9.6,20.1,47.7,35.5,89.6,2.1,5.1,2.2,1.6,1.0,0.5,2.159,108.86208,SF,PF,0.5627,False,Não
16.2,5.8,13.0,44.9,36.3,77.5,1.4,5.6,1.9,1.4,0.7,0.9,2.1082,99.79024,PF,PF,0.6502,True,Sim
10.6,5.3,15.8,33.3,0.0,0.0,0.0,21.1,10.6,0.0,0.0,0.0,1.9812,93.89355,SG,C,0.4713,False,Não
15.4,6.8,9.7,70.0,0.0,60.2,3.6,6.5,2.9,1.8,1.3,1.0,2.1336,114.75877,C,C,0.95,True,Sim
14.1,5.5,13.0,42.2,34.1,71.1,0.9,4.9,4.5,2.5,0.8,0.6,2.0574,83.91452,PF,SG,0.4731,False,Não
11.2,4.5,8.5,53.0,36.4,70.6,1.8,4.6,5.3,1.6,1.9,1.1,2.032,104.32616,PF,PF,0.6232,True,Sim
16.8,6.0,13.6,43.9,31.6,80.0,1.2,3.4,3.2,2.1,1.2,0.2,2.0574,81.64656,SF,SG,0.586,False,Não
19.4,7.3,16.3,44.8,31.3,78.3,1.4,2.4,8.0,4.6,3.2,0.7,1.8796,77.11064,PG,PG,0.989,True,Sim
17.6,6.5,13.5,48.0,37.6,75.7,2.2,6.6,3.6,2.0,1.3,1.2,2.0828,108.86208,C,PF,0.5831,False,Não
18.3,5.9,13.2,44.7,40.7,81.1,0.3,3.2,1.8,0.7,0.7,0.2,1.9558,92.98636,SG,SG,0.6666,True,Sim
16.8,6.1,8.7,70.3,75.0,70.0,5.4,7.2,3.5,3.7,1.6,2.1,2.1844,111.13004,C,C,0.9974,True,Sim
14.1,5.3,15.9,33.3,0.0,50.0,7.0,3.5,1.8,0.0,3.5,0.0,2.032,97.52228,PF,SF,0.5708,False,Não
22.0,8.8,16.9,51.9,30.5,69.1,3.2,6.4,6.7,3.4,1.3,1.2,2.1082,110.222855,C,C,0.5528,True,Sim
15.6,5.9,11.8,50.0,30.0,75.0,3.0,3.0,3.0,1.3,2.1,0.0,2.0066,99.79024,SF,SF,0.5473,True,Sim
11.7,4.9,11.5,43.1,40.0,40.0,1.6,2.7,9.9,5.6,1.1,0.0,1.9812,90.7184,PG,PG,0.9879,True,Sim
17.5,6.7,14.8,45.1,32.7,83.0,1.7,1.8,2.7,1.8,0.8,0.3,1.9558,87.99685,SG,SG,0.7795,True,Sim
15.9,5.3,12.2,44.0,38.3,74.0,1.4,5.7,1.9,1.6,0.9,2.2,2.1082,113.398,C,C,0.5005,True,Sim
12.6,4.0,12.4,32.0,19.0,78.9,2.2,3.0,3.0,2.0,2.0,1.0,1.8796,95.25432,SG,SG,0.7757,True,Sim
24.0,8.1,19.8,41.1,32.9,82.3,0.6,10.5,5.9,2.7,1.5,0.2,2.032,95.25432,SF,SF,0.7353,True,Sim
11.0,4.6,8.8,52.0,50.0,57.7,6.2,7.2,1.9,1.6,1.4,2.5,2.0828,116.11955,C,C,0.9979,True,Sim
15.0,5.4,8.5,64.0,20.0,75.8,3.1,6.8,1.0,2.0,0.4,2.5,2.1082,109.769264,C,C,0.974,True,Sim
